id_study,id_subj,id_sex,id_tdate,id_bdate,id_group,id_handedness,task_ordinal,task_onset,task_offset,task_planet,trial_ordinal,trial_onset,trial_offset,trial_success,trial_distance,grasp_ordinal,grasp_onset,grasp_offset,grasp_is_thrown,grasp_hand
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,1,298486,314091,n,1,1,298486,308142,n,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,2,314092,320483,n,1,2,314092,317526,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,3,320484,343161,y,1,3,320484,323952,n,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,3,320484,343161,y,1,4,337586,340918,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,4,343162,347921,y,1,5,343162,345746,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,5,347922,353293,y,1,6,347922,351322,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,6,353294,358189,n,1,7,353294,355980,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,7,358190,362881,y,1,8,358190,360944,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,8,362882,367811,y,1,9,362882,365636,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,9,367812,373013,y,1,10,367812,370872,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,10,373014,377739,y,1,11,373014,375734,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,11,377740,382499,y,1,12,377740,380494,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,12,382500,387905,n,1,13,382500,384982,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,13,387906,392495,y,1,14,387906,390422,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,14,392496,397391,n,1,15,392496,395080,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,15,397392,399704,y,1,16,397392,399296,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,16,416806,422925,y,2,17,416806,420886,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,17,422926,427515,n,2,18,422926,425442,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,18,427516,431901,n,2,19,427516,429964,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,19,431902,436627,y,2,20,431902,434350,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,20,436628,440979,y,2,21,436628,438736,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,21,440980,445195,n,2,22,440980,443292,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,22,445196,450227,n,2,23,445196,447678,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,23,450228,454477,y,2,24,450228,452370,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,24,454478,458659,y,2,25,454478,456824,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,25,458660,462603,y,2,26,458660,460734,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,26,462604,466785,y,2,27,462604,464610,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,27,466786,470491,y,2,28,466786,468588,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,28,470492,474877,y,2,29,470492,472396,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,29,474878,478549,y,2,30,474878,476544,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,30,478550,481202,y,2,31,478550,480658,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,31,488886,492489,y,3,32,488886,490450,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,32,492490,496093,n,3,33,492490,494054,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,33,496094,499799,y,3,34,496094,497726,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,34,499800,503539,y,3,35,499800,501500,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,35,503540,507177,y,3,36,503540,505240,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,36,507178,510781,n,3,37,507178,508980,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,37,510782,514895,y,3,38,510782,512890,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,38,514896,518737,y,3,39,514896,517106,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,39,518738,522443,y,3,40,518738,520744,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,40,522444,524824,n,3,41,522444,524246,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,41,533256,537879,y,4,42,533256,535500,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,42,537880,541591,n,4,43,537880,539376,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,43,541592,545189,n,4,44,541592,542844,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,44,545190,548657,n,4,45,545190,546550,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,45,548658,552227,y,4,46,548658,550358,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,46,552228,555797,n,4,47,552228,553928,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,47,555798,559639,n,4,48,555798,557770,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,48,559640,563923,n,4,49,559640,561850,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,49,563924,568037,y,4,50,563924,565896,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,1,262718,570656,e,50,568038,570656,n,4,51,568038,570214,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,51,594388,609823,n,.,52,594388,604282,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,52,609824,613428,n,.,53,609824,611456,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,53,623900,632467,n,1,54,623900,628048,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,54,632468,638757,y,1,55,632468,634474,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,55,638758,645285,y,1,56,638758,640968,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,56,645286,652323,y,1,57,645286,647904,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,57,652324,659803,n,1,58,652324,654806,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,58,659804,665549,y,1,59,659804,662354,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,59,665550,674117,n,1,60,665550,669630,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,60,674118,680407,y,1,61,674118,676702,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,61,680408,687003,y,1,62,680408,682992,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,62,687004,691492,n,1,63,687004,689690,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,63,697000,710327,n,2,64,697000,705228,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,64,710328,716957,n,2,65,710328,712742,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,65,716958,723893,n,2,66,716958,719814,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,66,723894,730625,n,2,67,723894,726376,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,67,730626,738003,n,2,68,730626,733788,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,68,738004,745415,n,2,69,738004,741336,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,69,745416,752419,n,2,70,745416,748000,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,70,752420,759321,n,2,71,752420,755208,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,71,759322,768230,y,2,72,759322,762212,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,2,587486,773704,m,72,768231,773704,n,2,73,768231,770576,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,73,788834,795123,n,.,74,788834,791826,n,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,74,795124,797164,n,.,75,795124,796722,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,75,803998,807669,y,1,76,803998,805902,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,76,807670,810355,y,1,77,807670,808860,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,77,810356,813245,y,1,78,810356,811784,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,78,813246,815999,y,1,79,813246,814538,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,79,816000,818753,y,1,80,816000,817394,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,80,818754,821677,y,1,81,818754,820250,y,r
vr,01,m,08/20/2018,12/17/1990,AD,r,3,782272,871828,j,81,821678,824499,y,1,82,821678,823072,y,r
